iter	Passed	Remaining
697	962	416
698	964	415
699	965	413
700	966	412
701	967	410
702	969	409
703	970	407
704	971	406
705	972	404
706	973	403
707	974	401
708	975	400
709	976	398
710	977	397
711	978	395
712	979	394
713	980	392
714	981	391
715	982	389
716	984	388
717	994	390
718	995	389
719	996	387
720	997	385
721	998	384
722	999	383
723	1000	381
724	1001	379
725	1002	378
726	1003	376
727	1004	375
728	1005	373
729	1006	372
730	1007	370
731	1008	369
732	1009	367
733	1010	366
734	1011	364
735	1012	363
736	1013	361
737	1014	360
738	1016	358
739	1017	357
740	1018	355
741	1019	354
742	1020	352
743	1021	351
744	1022	349
745	1023	348
746	1024	347
747	1025	345
748	1026	344
749	1027	342
750	1028	341
751	1029	339
752	1030	338
753	1031	336
754	1032	335
755	1033	333
756	1034	332
757	1035	330
758	1036	329
759	1038	327
760	1039	326
761	1039	324
762	1040	323
763	1041	321
764	1042	320
765	1043	318
766	1044	317
767	1046	316
768	1047	314
769	1047	313
770	1049	311
771	1050	310
772	1051	308
773	1052	307
774	1052	305
775	1053	304
776	1054	302
777	1055	301
778	1056	299
779	1057	298
780	1058	296
781	1059	295
782	1060	293
783	1061	292
784	1062	290
785	1063	289
786	1063	287
787	1064	286
788	1065	285
789	1066	283
790	1067	282
791	1068	280
792	1069	279
793	1070	277
794	1071	276
795	1072	274
796	1072	273
797	1074	271
798	1075	270
799	1076	269
800	1076	267
801	1077	266
802	1078	264
803	1079	263
804	1080	261
805	1081	260
806	1082	258
807	1083	257
808	1084	255
809	1084	254
810	1085	253
811	1086	251
812	1087	250
813	1088	248
814	1089	247
815	1090	245
816	1091	244
817	1092	243
818	1093	241
819	1094	240
820	1095	238
821	1096	237
822	1097	235
823	1098	234
824	1099	233
825	1100	231
826	1101	230
827	1101	228
828	1102	227
829	1103	226
830	1104	224
831	1105	223
832	1106	221
833	1107	220
834	1108	219
835	1109	217
836	1110	216
837	1110	214
838	1111	213
839	1112	211
840	1113	210
841	1114	209
842	1115	207
843	1116	206
844	1117	205
845	1118	203
846	1120	202
847	1121	200
848	1122	199
849	1123	198
850	1124	196
851	1125	195
852	1126	194
853	1127	192
854	1128	191
855	1129	190
856	1131	188
857	1132	187
858	1133	185
859	1134	184
860	1135	183
861	1135	181
862	1136	180
863	1137	179
864	1139	177
865	1140	176
866	1141	175
867	1142	173
868	1143	172
869	1144	171
870	1146	169
871	1147	168
872	1148	167
873	1149	165
874	1151	164
875	1152	163
876	1153	161
877	1154	160
878	1155	159
879	1156	157
880	1157	156
881	1158	155
882	1160	153
883	1161	152
884	1162	151
885	1163	149
886	1164	148
887	1165	146
888	1166	145
889	1167	144
890	1168	142
891	1169	141
892	1170	140
893	1171	138
894	1172	137
895	1173	136
896	1175	134
897	1176	133
898	1177	132
899	1178	130
900	1179	129
901	1180	128
902	1181	126
903	1181	125
904	1183	124
905	1184	122
906	1185	121
907	1186	120
908	1186	118
909	1187	117
910	1188	116
911	1189	114
912	1190	113
913	1192	112
914	1193	110
915	1193	109
916	1194	108
917	1195	106
918	1196	105
919	1197	104
920	1198	102
921	1199	101
922	1200	100
923	1201	98
924	1202	97
925	1203	96
926	1203	94
927	1204	93
928	1205	92
929	1206	90
930	1207	89
931	1208	88
932	1209	86
933	1210	85
934	1211	84
935	1212	82
936	1213	81
937	1214	80
938	1215	78
939	1216	77
940	1217	76
941	1217	74
942	1219	73
943	1220	72
944	1221	71
945	1223	69
946	1223	68
947	1224	67
948	1225	65
949	1226	64
950	1227	63
951	1228	61
952	1229	60
953	1230	59
954	1231	58
955	1232	56
956	1233	55
957	1234	54
958	1234	52
959	1236	51
960	1236	50
961	1237	48
962	1239	47
963	1239	46
964	1240	45
965	1241	43
966	1242	42
967	1243	41
968	1244	39
969	1246	38
970	1247	37
971	1248	35
972	1248	34
973	1249	33
974	1250	32
975	1252	30
976	1253	29
977	1254	28
978	1255	26
979	1256	25
980	1257	24
981	1257	23
982	1258	21
983	1259	20
984	1260	19
985	1261	17
986	1262	16
987	1263	15
988	1264	14
989	1265	12
990	1265	11
991	1267	10
992	1268	8
993	1268	7
994	1269	6
995	1270	5
996	1271	3
997	1272	2
998	1273	1
999	1274	0
